Year,Series,Units,Value
2016,"Material footprint, material footprint per capita (Tonne)",Tonne,2.8
2017,"Material footprint, material footprint per capita (Tonne)",Tonne,2.81
2018,"Material footprint, material footprint per capita (Tonne)",Tonne,2.87
2019,"Material footprint, material footprint per capita (Tonne)",Tonne,2.87
2020,"Material footprint, material footprint per capita (Tonne)",Tonne,2.83
2021,"Material footprint, material footprint per capita (Tonne)",Tonne,2.88
2022,"Material footprint, material footprint per capita (Tonne)",Tonne,2.84
2023,"Material footprint, material footprint per capita (Tonne)",Tonne,2.77
