Year,Value,Units,Series
2016,2.8,Tonne,"Material footprint, material footprint per capita (Tonne)"
2017,2.81,Tonne,"Material footprint, material footprint per capita (Tonne)"
2018,2.87,Tonne,"Material footprint, material footprint per capita (Tonne)"
2019,2.87,Tonne,"Material footprint, material footprint per capita (Tonne)"
2020,2.83,Tonne,"Material footprint, material footprint per capita (Tonne)"
2021,2.88,Tonne,"Material footprint, material footprint per capita (Tonne)"
2022,2.84,Tonne,"Material footprint, material footprint per capita (Tonne)"
2023,2.77,Tonne,"Material footprint, material footprint per capita (Tonne)"
