Year,Value,Units,Series
2016,0.01,%,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%)
2017,0.19,%,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%)
2018,0.46,%,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%)
2019,0.36,%,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%)
2020,0.07,%,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%)
2021,0.99,%,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%)
2022,3.49,%,Fossil-fuel subsidies (consumption and production) as a proportion of total GDP (%)
